tanggal,harga_saham,volume_saham,harga_emas,volume_emas,nilai_tukar_rupiah_terhadap_dollar
Jan '19,965,"2,52B","1,384.00","0,28K","13,970.00"
Feb '19,"1,015","3,72B","1,375.30","0,30K","14,060.00"
Mar '19,885,"1,79B","1,350.40","0,19K","14,235.00"
Apr '19,865,"965,14M","1,340.40","0,07K","14,245.00"
Mei '19,725,"1,29B","1,357.50","0,03K","14,270.00"
Jun '19,845,"1,31B","1,452.90","0,02K","14,125.00"
Jul '19,935,"2,26B","1,473.30","0,04K","14,012.00"
Ags '19,"1,070","3,57B","1,563.10","0,01K","14,180.00"
Sep '19,975,"2,23B","1,509.60","0,03K","14,190.00"
Okt '19,890,"1,96B","1,550.90","0,01K","14,032.00"
Nov '19,750,"1,16B","1,504.00","0,00K","14,100.00"
Des '19,840,"1,05B","1,559.50","0,02K","13,880.00"
Jan '20,720,"1,78B","1,618.00","0,83K","13,650.00"
Feb '20,575,"1,14B","1,589.70","2,60K","14,340.00"
Mar '20,450,"2,22B","1,599.60","2,77K","16,300.00"
Apr '20,510,"2,03B","1,707.70","2,25K","14,825.00"
Mei '20,535,"1,06B","1,771.70","8,83K","14,575.00"
Jun '20,605,"2,02B","1,830.50","10,85K","14,180.00"
Jul '20,730,"2,13B","2,004.60","20,17K","14,530.00"
Ags '20,820,"2,90B","1,991.40","43,45K","14,560.00"
Sep '20,705,"1,53B","1,907.80","21,45K","14,840.00"
Okt '20,"1,055","8,50B","1,892.40","48,67K","14,620.00"
Nov '20,"1,145","8,00B","1,784.80","131,26K","14,090.00"
Des '20,"1,935","11,75B","1,899.60","96,21K","14,040.00"
Jan '21,"2,220","21,18B","1,850.30","1,59M","14,020.00"
Feb '21,"2,840","15,17B","1,728.80","4,33M","14,240.00"
Mar '21,"2,250","6,89B","1,713.80","4,67M","14,520.00"
Apr '21,"2,490","124,67M","1,773.20","0,14K","14,445.00"
Mei '21,"2,660","133,08M","1,835.85",-,"14,204.00"
